                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    303,                 1.3173,                0.64595,                 1.1639,                0.83877,                0.73421,                0.77795,                0.38756,                 1.7422,                0.75324,                 1.4395,              0.0025255,              0.0025255,              0.0025255
                    304,                 1.3329,                0.65993,                 1.1739,                0.84607,                0.73363,                0.77557,                0.38759,                 1.7418,                0.75325,                 1.4397,              0.0025008,              0.0025008,              0.0025008
                    305,                 1.3456,                0.66125,                 1.1804,                0.85612,                0.72649,                 0.7724,                0.38632,                 1.7417,                0.75343,                 1.4392,               0.002476,               0.002476,               0.002476
                    306,                 1.3329,                0.65599,                 1.1657,                0.85632,                0.72542,                0.77405,                0.38783,                 1.7406,                 0.7527,                 1.4396,              0.0024513,              0.0024513,              0.0024513
                    307,                 1.3392,                0.66047,                 1.1778,                0.85751,                0.73034,                0.77764,                0.38796,                 1.7402,                0.75197,                 1.4393,              0.0024265,              0.0024265,              0.0024265
                    308,                 1.3277,                0.65532,                 1.1709,                0.85409,                0.73235,                0.77796,                0.38749,                 1.7413,                0.75307,                 1.4402,              0.0024018,              0.0024018,              0.0024018
                    309,                 1.3355,                0.65481,                 1.1727,                0.85549,                0.72873,                0.77795,                0.38665,                 1.7426,                0.75412,                 1.4412,               0.002377,               0.002377,               0.002377
                    310,                  1.327,                0.65399,                 1.1749,                 0.8511,                0.72474,                0.77616,                0.38718,                 1.7421,                0.75202,                 1.4417,              0.0023523,              0.0023523,              0.0023523
                    311,                 1.3251,                 0.6565,                 1.1729,                0.85441,                 0.7265,                0.77501,                0.38762,                 1.7426,                0.75244,                 1.4426,              0.0023275,              0.0023275,              0.0023275
                    312,                 1.3274,                0.65451,                 1.1669,                0.85269,                0.72664,                0.77734,                0.38618,                  1.742,                0.75241,                  1.443,              0.0023028,              0.0023028,              0.0023028
                    313,                 1.3259,                0.65321,                 1.1677,                0.85233,                0.72683,                0.77527,                0.38545,                 1.7445,                0.75381,                 1.4443,               0.002278,               0.002278,               0.002278
                    314,                 1.3333,                0.65513,                 1.1693,                0.85013,                0.72097,                 0.7717,                0.38555,                 1.7441,                 0.7523,                 1.4446,              0.0022533,              0.0022533,              0.0022533
                    315,                 1.3149,                0.65082,                 1.1673,                0.85321,                0.72296,                 0.7729,                0.38602,                 1.7446,                0.75291,                 1.4444,              0.0022285,              0.0022285,              0.0022285
                    316,                 1.3342,                0.65356,                 1.1669,                0.85661,                0.71838,                0.77416,                0.38612,                 1.7453,                0.75302,                 1.4445,              0.0022038,              0.0022038,              0.0022038
                    317,                  1.321,                0.65415,                 1.1616,                0.85959,                0.71675,                0.77411,                0.38562,                 1.7457,                0.75305,                 1.4449,               0.002179,               0.002179,               0.002179
                    318,                 1.3242,                0.65592,                 1.1715,                0.86282,                0.71911,                0.77682,                 0.3863,                 1.7461,                0.75274,                 1.4454,              0.0021543,              0.0021543,              0.0021543
                    319,                 1.3209,                0.64495,                 1.1656,                0.85961,                0.72227,                0.77699,                0.38413,                 1.7465,                0.75356,                 1.4464,              0.0021295,              0.0021295,              0.0021295
                    320,                 1.3291,                0.65179,                 1.1605,                0.85693,                0.72323,                0.77533,                0.38434,                 1.7478,                 0.7524,                 1.4469,              0.0021048,              0.0021048,              0.0021048
                    321,                 1.3317,                0.65297,                 1.1692,                0.85121,                0.72516,                0.77734,                0.38454,                 1.7481,                0.75088,                 1.4477,                0.00208,                0.00208,                0.00208
                    322,                 1.3154,                0.64885,                 1.1618,                0.85956,                0.72155,                0.77675,                0.38602,                 1.7492,                0.75135,                 1.4482,              0.0020553,              0.0020553,              0.0020553
