                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8318,                 5.0269,                 4.0337,                 0.5012,                0.00535,                0.00093,                0.00023,                 3.3411,                 5.7069,                 3.4275,               0.003322,               0.003322,               0.003322
                      2,                 3.0915,                 3.7989,                 2.9057,                0.57104,                0.03069,                0.02252,                0.00761,                 2.7252,                 3.1785,                 2.5515,              0.0066421,              0.0066421,              0.0066421
                      3,                 2.6017,                  2.996,                 2.2916,                0.45456,                 0.0764,                0.06915,                 0.0239,                 2.4305,                 2.4956,                  2.141,              0.0099491,              0.0099491,              0.0099491
                      4,                 2.3537,                 2.6086,                 2.0357,                0.57084,                 0.1106,                0.10594,                 0.0367,                 2.2478,                 2.5815,                 1.9865,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.1959,                 2.2864,                 1.8942,                0.52062,                0.13765,                0.14543,                0.05292,                 2.2769,                 2.1381,                 1.9619,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.1303,                 2.0894,                 1.8165,                0.38098,                0.20731,                0.18789,                0.07418,                 2.1326,                 1.8718,                  1.842,               0.009901,               0.009901,               0.009901
                      7,                 2.0634,                  1.927,                 1.7551,                  0.457,                0.25719,                0.31105,                0.12706,                 2.0591,                 1.6121,                 1.7799,              0.0098812,              0.0098812,              0.0098812
                      8,                  2.024,                 1.7947,                 1.7218,                0.44424,                0.29096,                0.33273,                0.14077,                 2.0123,                 1.5367,                 1.7385,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.9862,                 1.7144,                   1.69,                0.46641,                0.37993,                0.37466,                0.16232,                  1.989,                 1.4548,                 1.7085,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.9568,                 1.6417,                 1.6662,                0.65466,                0.31413,                0.41093,                0.17253,                 1.9832,                 1.4316,                 1.7128,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.9358,                 1.5627,                   1.64,                0.56841,                0.40563,                0.43982,                0.19326,                   1.93,                 1.3534,                 1.6683,               0.009802,               0.009802,               0.009802
                     12,                 1.9115,                 1.5055,                 1.6181,                0.61714,                 0.3871,                 0.4631,                 0.2093,                 1.9168,                 1.2935,                 1.6548,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.8909,                 1.4604,                 1.6051,                0.53628,                0.45504,                0.53631,                0.23314,                 1.9027,                 1.2631,                 1.6293,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.8697,                 1.4176,                 1.5864,                0.64907,                0.40294,                0.49723,                0.22398,                 1.9014,                 1.2776,                 1.6165,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.8496,                 1.3908,                   1.58,                0.58569,                 0.4594,                0.56373,                0.25328,                 1.9119,                 1.2482,                 1.6226,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.8414,                 1.3583,                 1.5635,                0.59189,                0.48487,                0.53731,                0.25239,                 1.8791,                 1.1655,                 1.6161,               0.009703,               0.009703,               0.009703
                     17,                 1.8207,                 1.3227,                 1.5474,                0.62617,                0.46393,                0.60124,                0.26231,                 1.8663,                 1.1554,                 1.5862,              0.0096832,              0.0096832,              0.0096832
                     18,                   1.81,                 1.2955,                  1.545,                0.60134,                0.47939,                0.53749,                0.25308,                 1.8751,                 1.1278,                 1.5929,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.7992,                 1.2738,                 1.5317,                0.62232,                0.47609,                0.59239,                0.28319,                 1.8425,                 1.1293,                   1.57,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.7959,                 1.2627,                 1.5214,                0.65949,                 0.4945,                0.61702,                0.25022,                 1.8826,                  1.117,                 1.5871,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.7832,                 1.2386,                 1.5177,                0.68236,                 0.4608,                0.61162,                0.26903,                 1.8556,                 1.0714,                  1.561,               0.009604,               0.009604,               0.009604
                     22,                 1.7633,                 1.2172,                  1.498,                0.62307,                0.54722,                0.63851,                0.29253,                  1.862,                  1.086,                 1.5653,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.7492,                  1.201,                 1.4934,                0.67112,                0.53321,                0.62106,                0.26759,                 1.8487,                 1.0726,                 1.5706,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.755,                 1.1775,                 1.4875,                 0.7034,                 0.5773,                 0.6408,                0.30892,                 1.8254,                 1.0328,                 1.5482,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.7453,                 1.1771,                  1.492,                0.75291,                0.51479,                  0.669,                0.30774,                 1.8216,                  1.027,                 1.5484,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.7372,                 1.1548,                 1.4821,                0.66085,                0.58191,                0.65834,                0.29796,                  1.829,                 1.0322,                 1.5369,               0.009505,               0.009505,               0.009505
                     27,                 1.7295,                 1.1369,                 1.4686,                0.77214,                0.52601,                0.68273,                0.30772,                 1.8049,                 0.9967,                 1.5228,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.7255,                 1.1306,                 1.4645,                0.61292,                0.66315,                0.68184,                0.31717,                 1.8299,                0.98625,                 1.5485,              0.0094654,              0.0094654,              0.0094654
                     29,                  1.706,                 1.1234,                 1.4581,                0.73822,                0.60821,                0.68642,                0.32149,                 1.8141,                0.99259,                  1.532,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.7001,                 1.1016,                 1.4487,                0.64925,                0.64515,                0.65848,                0.30968,                 1.7994,                0.97713,                 1.5219,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.7028,                 1.1037,                 1.4508,                0.69059,                0.66792,                0.71313,                0.33374,                 1.8006,                0.96817,                 1.5249,               0.009406,               0.009406,               0.009406
                     32,                  1.695,                 1.0883,                 1.4367,                0.71336,                0.62955,                0.69567,                0.32629,                 1.7957,                0.95277,                 1.5142,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.6888,                  1.078,                 1.4377,                0.71803,                0.63318,                0.70393,                0.32717,                 1.7967,                0.95449,                  1.512,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.6879,                 1.0733,                 1.4355,                 0.5708,                 0.7301,                0.72146,                0.32247,                 1.8038,                0.96119,                 1.5127,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.6799,                 1.0664,                 1.4307,                0.74694,                 0.6743,                0.71767,                0.32569,                 1.7825,                 0.9439,                 1.5024,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.6677,                 1.0481,                 1.4173,                0.72182,                0.65471,                0.70383,                0.32024,                 1.7863,                0.94371,                 1.5037,               0.009307,               0.009307,               0.009307
                     37,                 1.6696,                 1.0498,                 1.4248,                0.59976,                 0.7068,                0.68596,                0.32556,                 1.8005,                0.92804,                 1.5091,              0.0092872,              0.0092872,              0.0092872
